"id","territorio","mujeres","hombres","total"
70017,"Aleksandrovac",77.89,74.64,76.16
70025,"Aleksinac",75.48,68.8,72.04
70033,"Aranđelovac",77.3,70.56,74.06
70041,"Arilje",78.37,72.65,75.54
70050,"Babušnica",75.04,70.88,73.17
70068,"Bajina Bašta",77.87,72.94,75.47
70076,"Batočina",77.97,72.63,75.38
70084,"Bela Palanka",74.4,69.13,71.59
70092,"Barajevo",77,72.62,74.94
70106,"Voždovac",78.34,73.37,75.92
70114,"Vračar",79.61,74.16,77.29
70122,"Grocka",78.2,72.97,75.54
70149,"Zvezdara",78.13,73.66,76.05
70157,"Zemun",77.83,72.1,75.09
70165,"Lazarevac",77.08,70.73,73.85
70173,"Mladenovac",76.79,70.94,73.89
70181,"Novi Beograd",78.64,74.22,76.63
70190,"Obrenovac",76.32,71.51,73.92
70203,"Palilula (Beograd)",77.79,72.31,75.21
70211,"Rakovica",78.05,73.31,75.8
70220,"Savski venac",76.81,71.73,74.47
70238,"Sopot",77.47,72.43,75.04
70246,"Stari grad",77.87,73.39,75.87
70254,"Čukarica",78.47,73.43,76.08
70262,"Blace",77.39,72.68,75.35
70289,"Bogatić",76.67,71.21,73.82
70297,"Bojnik",74.34,69.71,72.11
70319,"Boljevac",77.8,67.11,72.17
70327,"Bor",76.32,71.09,73.83
70335,"Bosilegrad",73.93,70.96,72.59
70343,"Brus",76.13,73.37,74.65
70351,"Bujanovac",74.96,71.15,72.97
70360,"Valjevo",77.73,72.61,75.22
70378,"Varvarin",77.44,73.11,75.48
70386,"Velika Plana",77.67,71.55,74.65
70394,"Veliko Gradište",77.43,70.37,73.87
70408,"Vladimirci",76.64,69.23,72.68
70416,"Vladičin Han",77.55,70.27,73.88
70424,"Vlasotince",76.05,71.14,73.58
70432,"Vranje",76.4,72.39,74.44
70459,"Vrnjačka Banja",78.42,73.06,75.87
70467,"Gadžin Han",77.01,72.79,74.95
70475,"Golubac",75.86,71.05,73.49
70483,"Gornji Milanovac",77.42,72.6,75.14
70491,"Despotovac",75.19,72.75,74.05
70505,"Dimitrovgrad",76.34,71.01,73.8
70513,"Doljevac",75.95,71.41,73.76
70521,"Žabari",76.22,70.98,73.82
70530,"Žagubica",76.38,72.85,74.82
70548,"Žitorađa",77.23,74.26,75.74
70556,"Zaječar",76.8,72.07,74.5
70564,"Ivanjica",79.44,73.35,76.36
70572,"Kladovo",77.71,69.11,73.3
70599,"Knić",78.39,72.21,75.29
70602,"Knjaževac",77.24,71.59,74.52
70629,"Kosjerić",78.87,72.83,75.84
70637,"Koceljeva",74.52,69.91,72.15
70645,"Kragujevac",77.15,72.7,74.96
70653,"Kraljevo",77.03,72.56,74.88
70661,"Krupanj",77.45,69.7,73.57
70670,"Kruševac",77.45,72.4,74.9
70688,"Kuršumlija",73.25,69.61,71.68
70696,"Kučevo",73.7,67.87,70.97
70700,"Lajkovac",77.77,70.03,73.79
70718,"Lebane",74.27,69.46,71.88
70726,"Leskovac",76.6,71.98,74.27
70734,"Loznica",75.91,72.08,74.02
70742,"Lučani",78.5,72.15,75.33
70769,"Ljig",74.73,73.39,74.3
70777,"Ljubovija",76.45,70.05,73.04
70785,"Majdanpek",75.14,70.77,72.96
70793,"Mali Zvornik",76.12,74.19,75.3
70807,"Malo Crniće",77.38,69.25,73.2
70815,"Medveđa",71.59,72.07,71.99
70823,"Merošina",76.71,70.99,73.94
70831,"Mionica",77.58,71.4,74.46
70840,"Negotin",75.5,68.93,72.11
70866,"Nova Varoš",78.39,73.77,76.02
70874,"Novi Pazar",75.42,71.94,73.71
70882,"Osečina",77.02,71.88,74.43
70904,"Paraćin",76.38,71.08,73.65
70912,"Petrovac na Mlavi",78.04,71.95,74.96
70939,"Pirot",77.32,72.88,75.06
70947,"Požarevac",76.04,70.73,73.53
70955,"Požega",75.85,73.02,74.52
70963,"Preševo",71.74,67.82,69.86
70971,"Priboj",76.91,71.31,74.25
70980,"Prijepolje",74.77,72.18,73.6
70998,"Prokuplje",75.5,71.13,73.32
71005,"Ražanj",79.12,71.77,75.22
71013,"Rača",77.64,71.97,74.87
71021,"Raška",78.3,74.38,76.33
71030,"Rekovac",77.83,71.49,74.76
71048,"Jagodina",76.32,72.31,74.38
71056,"Svilajnac",77.85,68.48,73.2
71064,"Svrljig",79.43,75.08,77.33
71072,"Sjenica",75.96,73.84,75.06
71099,"Smederevo",76.65,71.01,73.84
71102,"Smederevska Palanka",77.17,72.17,74.75
71129,"Sokobanja",77.66,70.6,74.18
71137,"Surdulica",75.2,72,73.65
71145,"Užice",77.42,72.5,74.96
71153,"Topola",79.01,73.07,76.1
71161,"Trgovište",74.98,70.33,72.66
71170,"Trstenik",77.52,72.97,75.35
71188,"Tutin",74.65,72.55,73.66
71196,"Ćićevac",75.63,69.46,72.38
71200,"Ćuprija",76.06,70.62,73.43
71218,"Ub",76.52,70.64,73.38
71226,"Crna Trava",75.96,68.76,72.29
71234,"Čajetina",78.54,71.45,74.78
71242,"Čačak",78.35,73.42,75.91
71269,"Šabac",76.63,71.19,73.96
71277,"Lapovo",73.29,72.75,73.29
71285,"Niška Banja",77.68,71.74,74.63
71293,"Surčin",77.95,71.48,74.76
71307,"Pantelej",78.46,74.37,76.47
71315,"Crveni Krst",75.98,70.99,73.39
71323,"Palilula (Niš)",76.82,72.31,74.67
71331,"Medijana",77.03,71.89,74.61
71340,"Kostolac",77,71.77,74.49
